"HH_ID","PER_ID","TOUR_ID","TOURMODE_RECODE","TOURPURP_RECODE","AUTOSUFF","finalweight"
19213953,2,1,"1_SOV","Indi-Main",2,1735.02240309709
19222160,4,1,"1_SOV","Indi-Main",2,16.684061973781
19284581,2,1,"10_PNR_PREMIUM","Indi-Disc",2,16.2257820480557
19351151,3,1,"3_HOV3","Indi-Main",1,157.718955321411
19390219,4,1,"3_HOV3","Indi-Main",2,101.780547014379
19418222,2,1,"2_HOV2","School",1,12.4029238656475
19465539,1,1,"6_WALK_LOCAL","Other",1,48.5603119242233
19477762,2,1,"1_SOV","Work",2,93.4224917095455
19517458,2,1,"1_SOV","Indi-Main",2,17.761014514753
19562033,2,1,"1_SOV","Indi-Main",2,12.4448114368229
19581497,1,1,"1_SOV","Indi-Disc",2,20.1762330462137
19592160,1,1,"3_HOV3","Indi-Disc",2,212.917278600508
19593915,1,1,"1_SOV","Indi-Main",1,89.8192481116058
19616212,1,1,"2_HOV2","Indi-Main",2,12.2219382592238
19641418,2,1,"1_SOV","Indi-Main",2,195.939610210484
19699848,1,1,"9_PNR_LOCAL","Other",2,12.9590348987728
19705490,2,1,"1_SOV","Indi-Main",2,23.7038977486302
19720085,1,1,"1_SOV","Indi-Main",2,13.012386824976
19786549,2,1,"7_WALK_PREMIUM","Indi-Main",2,434.130310069669
19852864,2,1,"2_HOV2","Indi-Main",2,318.537627668238
19881088,2,1,"1_SOV","Indi-Main",2,16.8672650216473
19982708,2,1,"2_HOV2","Indi-Main",2,25.3121819488281
19992686,1,1,"4_WALK","Indi-Main",2,13.012386824976
18117111,1,1,"1_SOV","Indi-Main",2,16.5008853625119
18146338,1,1,"2_HOV2","Work",2,93.3007153874381
18307912,2,1,"7_WALK_PREMIUM","Indi-Main",1,13.0997804440074
18310954,2,1,"1_SOV","Indi-Main",1,68.6197829305299
18310954,3,1,"3_HOV3","Indi-Main",1,68.6197829305299
18426060,2,1,"2_HOV2","Indi-Main",2,13.012386824976
18428523,1,1,"1_SOV","Indi-Main",2,85.5893175839329
18454760,1,1,"2_HOV2","Work",2,76.6441216572434
18454760,3,1,"2_HOV2","School",2,51.0960811048288
18496233,5,1,"3_HOV3","Indi-Main",1,527.005354185861
18502060,3,1,"2_HOV2","Indi-Main",2,77.5969473246253
18635809,2,1,"2_HOV2","Indi-Main",2,12.56396065365
18782954,1,1,"6_WALK_LOCAL","Other",0,192.78662442476
18856588,2,1,"1_SOV","Indi-Main",2,28.451373870668
18958607,2,1,"3_HOV3","Indi-Disc",2,210.809188407172
19168478,2,1,"1_SOV","Indi-Main",2,81.8897554905879
19222160,2,1,"1_SOV","Indi-Main",2,16.684061973781
19225840,1,1,"1_SOV","Indi-Main",1,234.498217308025
19260941,1,1,"1_SOV","Work",2,74.1903225039677
19274312,1,1,"1_SOV","Indi-Main",2,24.3386730720835
19325565,3,1,"1_SOV","Work",2,54.2567171663153
19330581,2,1,"2_HOV2","Indi-Main",2,16.2892431173884
19381171,1,1,"1_SOV","Indi-Main",2,37.2158391381837
19400634,1,1,"7_WALK_PREMIUM","Indi-Disc",1,194.874361107812
19545233,3,1,"2_HOV2","Indi-Main",2,12.2169323380413
19562033,2,1,"1_SOV","Indi-Main",2,12.4448114368229
19581497,1,1,"1_SOV","Indi-Disc",2,20.1762330462137
19592160,1,1,"3_HOV3","Indi-Disc",2,212.917278600508
19616212,1,1,"1_SOV","Indi-Main",2,12.2219382592238
19699848,1,1,"1_SOV","Indi-Main",2,12.9590348987728
19745620,1,1,"7_WALK_PREMIUM","Indi-Disc",2,71.3197541891268
19789829,1,1,"1_SOV","Indi-Main",2,13.0023260358268
19992686,1,1,"4_WALK","Indi-Main",2,13.012386824976
19993829,1,1,"2_HOV2","Indi-Main",1,37.9911709032401
18307912,2,1,"2_HOV2","Indi-Main",1,13.0997804440074
18390465,2,1,"1_SOV","Indi-Disc",2,17.2787131983637
18458295,1,1,"2_HOV2","Indi-Disc",2,296.297685915517
18486852,1,1,"3_HOV3","Indi-Main",2,64.0400791026579
18486852,2,1,"3_HOV3","Indi-Disc",2,64.0400791026579
18486852,3,1,"3_HOV3","Indi-Disc",2,64.0400791026579
