"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Hennepin","Dakota","Auto SOV","Work-based",6880.65491985251
"Rice","Rice","Auto 2 Person","Visiting",1024.31373819351
"Rice","Rice","Walk","Discretionary",7761.21447892749
"Rice","Rice","Auto 2 Person","Shop",7867.83794251792
"Washington","Ramsey","Auto 3+ Person","Work",1505.166199424
"Ramsey","Washington","Auto 3+ Person","Work",2526.09794258243
"Washington","Washington","Auto 3+ Person","Visiting",10406.1937809503
"Washington","Washington","Auto 2 Person","Work",22064.0245766112
"Washington","Washington","Auto 3+ Person","Work",8720.88632339763
"Ramsey","Washington","Auto SOV","Work-based",6809.30366816274
"Washington","Washington","Auto SOV","Work-based",16908.2310642506
"Washington","Washington","Auto 3+ Person","Maintenance",11200.5452388675
"Washington","Washington","Auto 3+ Person","School",21602.7363073672
"Washington","Ramsey","Auto 3+ Person","Shop",3906.27511575962
"Ramsey","Washington","Auto 3+ Person","Shop",3944.84812131424
"Washington","Washington","Auto 3+ Person","Shop",9526.24494660284
"Washington","Washington","Auto 2 Person","Shop",21123.2984444974
"Ramsey","Hennepin","Auto SOV","Eating Out",2399.24842672831
"Hennepin","Ramsey","Auto 2 Person","Eating Out",1347.92540132459
"Hennepin","Hennepin","Auto 2 Person","Work-based",27363.5041787683
"Anoka","Anoka","Auto SOV","Escort",19614.7176764316
"Anoka","Anoka","Auto 2 Person","Shop",13001.1872076154
"Anoka","Anoka","Auto 3+ Person","Maintenance",10242.0612116867
"Polk","Chisago","Auto SOV","Maintenance",636.907976429357
"Chisago","Polk","Auto SOV","Maintenance",663.674161464875
"Polk","Polk","Auto SOV","Maintenance",10206.6218223784
"Polk","Polk","Auto 3+ Person","Eating Out",285.43400181518
"Polk","Polk","Auto 2 Person","Eating Out",830.130241265101
"Polk","Polk","Auto 2 Person","Maintenance",12516.0207291717
"Dakota","Dakota","Auto 3+ Person","Visiting",8194.27151985491
"Hennepin","Hennepin","Auto SOV","University",9215.59585541599
"Dakota","Ramsey","Auto SOV","University",11.4518787459659
"Ramsey","Dakota","Walk","Work-based",1066.24607301523
"Sherburne","Sherburne","Auto 2 Person","Shop",11341.8071917709
"Sherburne","Anoka","Auto SOV","Discretionary",363.717625283087
"Anoka","Sherburne","Auto SOV","Discretionary",403.44177816332
"McLeod","McLeod","Walk","Eating Out",3349.30532556188
"Washington","Anoka","Auto SOV","Eating Out",291.533180989002
"Pierce","St. Croix","Auto 2 Person","Shop",2360.77848789001
"St. Croix","Pierce","Auto 2 Person","Shop",2268.26622359296
"Pierce","Pierce","Auto 2 Person","Shop",2737.08757743273
"Pierce","Pierce","Walk","Work",2028.70808368796
"St. Croix","St. Croix","Auto 2 Person","Shop",12398.1321471509
"Pierce","Pierce","Walk","Work-based",2802.31433290799
"Pierce","Pierce","TNR-Transit","School",4172.91328101278
"Anoka","Anoka","Drive-Transit","Work",1279.2998279548
"Anoka","Anoka","Walk-Transit","Work",602.482012280862
"Hennepin","Hennepin","Walk-Transit","Escort",5682.91711392861
"Dakota","Dakota","Walk-Transit","Work",2143.25051041943
"Dakota","Dakota","Walk","Work-based",4274.9588878354
"Wright","Wright","Auto 3+ Person","Escort",5076.08424489771
"Wright","Wright","Auto 2 Person","Escort",10613.506468462
"Wright","Wright","Auto SOV","Discretionary",14031.9044802514
"Wright","Wright","TNR-Transit","School",8900.71257433733
"Hennepin","Ramsey","Auto SOV","Discretionary",7439.0941082946
"Goodhue","Dakota","Auto SOV","Work",2150.49090585897
"Dakota","Goodhue","Auto SOV","Work",3234.72773692384
"Washington","Ramsey","Walk","Discretionary",1502.22569725716
"Ramsey","Washington","Auto SOV","Discretionary",5176.97612881467
"Pierce","St. Croix","Auto SOV","Work",6095.67268003724
"St. Croix","St. Croix","Drive-Transit","Work",93.7388594019062
"Hennepin","Ramsey","Auto 2 Person","Shop",4836.08311096018
"Ramsey","Hennepin","Auto 2 Person","Shop",2513.91236100625
"Hennepin","Washington","Walk","Work-based",134.361778869948
"Washington","Washington","Walk","Work-based",1129.34509769799
"St. Croix","Ramsey","Auto 2 Person","Work",270.201718911301
"Anoka","Anoka","Auto SOV","Maintenance",33731.6119711068
"Ramsey","Hennepin","Auto 2 Person","Eating Out",1445.33505167834
"Anoka","Hennepin","Auto SOV","Eating Out",716.739543218195
"Scott","Scott","Auto 3+ Person","School",9721.43861826086
"Ramsey","Pierce","Auto SOV","Work",755.24111123819
"Ramsey","Ramsey","Auto 3+ Person","Work-based",4397.19169106457
"Pierce","Pierce","Walk","School",178.583233677443
"Dakota","Ramsey","Auto SOV","Shop",1776.55207275913
"Ramsey","Ramsey","Walk-Transit","Discretionary",1142.81897817934
"Ramsey","Hennepin","Walk-Transit","Discretionary",188.759342404991
"Ramsey","Ramsey","Drive-Transit","Discretionary",272.341551950037
"Goodhue","Goodhue","Auto 3+ Person","School",825.853079948557
"Hennepin","Scott","Auto 2 Person","Visiting",450.197224119926
"Scott","Hennepin","Auto 2 Person","Visiting",99.416414201028
"Scott","Scott","Auto 2 Person","Visiting",1119.23287747708
"Scott","Dakota","Auto SOV","Eating Out",2142.04963516544
