"timebin","purpose","freq_stop","freq_trip"
45,"jmain",0,0
46,"jmain",0,0
47,"jmain",0,0
48,"jmain",0,0
5,"jmain",0,64.5055155467863
6,"jmain",0,114.252411145383
7,"jmain",0,475.974814592072
8,"jmain",0,1455.27697825906
9,"jmain",13.2803192701602,463.454203709761
1,"sch",0,48.8531567334574
10,"sch",4910.7706983579,54699.1835467913
11,"sch",4153.11796132183,54268.2544223999
12,"sch",2571.14370110156,27330.2298664563
13,"sch",552.144464600311,14955.2010434371
14,"sch",436.615747294085,3085.55915056583
15,"sch",718.301449148027,2552.85892543732
16,"sch",86.6289789761457,2816.56505630636
17,"sch",970.453106455182,4980.01336922107
18,"sch",1401.92539601763,4141.65264873779
19,"sch",1471.69142602435,3755.61366733061
2,"sch",0,1109.48057552695
20,"sch",2661.74001559812,4455.80403644677
21,"sch",955.317102023237,18149.2498058484
22,"sch",5468.50331548721,19822.4695944702
23,"sch",4160.89567681577,48525.2657501454
24,"sch",2890.5573174544,43110.5956017501
25,"sch",14017.6884752848,57969.6585185858
26,"sch",8037.00685578313,44061.1963757358
27,"sch",12515.2912206154,42183.4409316942
28,"sch",11026.8674386527,34053.4255778878
29,"sch",6939.64646097645,29183.1484164264
3,"sch",548.344202719408,548.344202719408
30,"sch",3324.78249910022,14979.2618805156
31,"sch",5110.14941273091,9628.41163387803
32,"sch",2311.73353172495,3575.84949193351
