"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Washington","St. Croix","Auto SOV","Work",5042.71591057024
"St. Croix","St. Croix","Auto SOV","Eating Out",3692.98457275747
"Hennepin","Ramsey","Auto SOV","Visiting",4129.74372055304
"Ramsey","Ramsey","Drive-Transit","Work",675.711393074569
"Ramsey","Ramsey","Auto 3+ Person","Maintenance",34319.3877022511
"St. Croix","Ramsey","Auto 2 Person","Maintenance",1330.3788145116
"Ramsey","Washington","Auto 2 Person","Maintenance",7818.45393933989
"Washington","St. Croix","Auto 2 Person","Maintenance",4259.99242225618
"St. Croix","St. Croix","Auto SOV","Shop",16135.0259195351
"St. Croix","St. Croix","Auto 2 Person","Maintenance",30734.628016893
"St. Croix","St. Croix","Auto 2 Person","Escort",7567.09296660975
"Hennepin","Hennepin","Walk","Work-based",64429.8137232234
"Dakota","Hennepin","Auto SOV","Shop",6532.75527547852
"Hennepin","Dakota","Auto SOV","Shop",5629.29869784168
"Dakota","Dakota","Auto SOV","Visiting",11130.890387196
"Dakota","Scott","Auto SOV","Visiting",520.379550540721
"Scott","Scott","Auto SOV","Visiting",4799.13144879994
"Scott","Dakota","Auto SOV","Visiting",685.399468956445
"Scott","Le Sueur","Auto SOV","Work",2788.49077081772
"Le Sueur","Le Sueur","Auto 2 Person","Discretionary",1438.31306936775
"Dakota","Carver","Auto SOV","Shop",194.628130678011
"Carver","Dakota","Auto SOV","Shop",194.628130678011
"Hennepin","Dakota","Auto SOV","Work",37942.0943382395
"Anoka","Anoka","Auto 3+ Person","Escort",39925.6156091308
"Anoka","Ramsey","Auto SOV","Escort",2438.09992788413
"Anoka","Anoka","Auto 3+ Person","Work",7421.39426857835
"Anoka","Anoka","Auto 3+ Person","School",24121.9599235398
"Dakota","Hennepin","Auto 2 Person","Maintenance",5782.75798869179
"Hennepin","Dakota","Auto 3+ Person","Discretionary",1364.11434359352
"Ramsey","Dakota","Auto 2 Person","Escort",1409.15390817965
"Sherburne","Sherburne","Auto SOV","Discretionary",8659.31618373315
"Ramsey","Dakota","Auto 2 Person","Work",2349.29214685821
"Dakota","Dakota","Auto 2 Person","Work",23569.703019589
