HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18873409,2,3,2,3,4,nan,nan,nan,nan,nan,nan,3,8
18873665,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18886419,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18904026,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
18917191,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18917191,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18931618,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18932625,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
18937442,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18941818,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18942851,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
18947573,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,1
18950508,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18950508,2,3,1,2,3,nan,nan,nan,nan,nan,nan,3,7
18951016,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18951129,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18959245,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,9
18968258,1,3,3,4,5,nan,nan,nan,nan,nan,nan,2,3
18968258,2,2,2,5,nan,nan,nan,nan,nan,nan,nan,3,8
18969863,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,8
18969983,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18969983,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18970170,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,3
18973592,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18974729,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,9
18979422,1,3,2,4,5,nan,nan,nan,nan,nan,nan,3,3
18979422,2,3,2,4,5,nan,nan,nan,nan,nan,nan,3,3
18979659,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,5
18987033,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18988873,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19115990,1,2,2,5,nan,nan,nan,nan,nan,nan,nan,3,5
19121087,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,9
19123194,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
